# x u(x,t=0)
6.9750000000e-01 4.0922313023e-04
7.0000000000e-01 3.3546262790e-04
7.0250000000e-01 2.7431046749e-04
7.0500000000e-01 2.2374579372e-04
7.0750000000e-01 1.8204621037e-04
7.1000000000e-01 1.4774836023e-04
7.1250000000e-01 1.1961288358e-04
7.1500000000e-01 9.6593413722e-05
7.1750000000e-01 7.7809268616e-05
7.2000000000e-01 6.2521503775e-05
7.2250000000e-01 5.0112002886e-05
7.2500000000e-01 4.0065297393e-05
7.2750000000e-01 3.1952823774e-05
7.3000000000e-01 2.5419346516e-05
7.3250000000e-01 2.0171295077e-05
7.3500000000e-01 1.5966783898e-05
7.3750000000e-01 1.2607105177e-05
7.4000000000e-01 9.9295043059e-06
7.4250000000e-01 7.8010673023e-06
7.4500000000e-01 6.1135679664e-06
7.4750000000e-01 4.7791397322e-06
7.5000000000e-01 3.7266531721e-06
7.5250000000e-01 2.8986947746e-06
7.5500000000e-01 2.2490559670e-06
7.5750000000e-01 1.7406533965e-06
7.6000000000e-01 1.3438122776e-06
7.6250000000e-01 1.0348542111e-06
7.6500000000e-01 7.9493936153e-07
7.6750000000e-01 6.0912033155e-07
7.7000000000e-01 4.6557157158e-07
7.7250000000e-01 3.5496380870e-07
7.7500000000e-01 2.6995785034e-07
7.7750000000e-01 2.0479630212e-07
7.8000000000e-01 1.5497531357e-07
7.8250000000e-01 1.1698150401e-07
7.8500000000e-01 8.8081791965e-08
7.8750000000e-01 6.6156016377e-08
7.9000000000e-01 4.9564053192e-08
7.9250000000e-01 3.7040645508e-08
7.9500000000e-01 2.7612424568e-08
7.9750000000e-01 2.0532640449e-08
8.0000000000e-01 1.5229979745e-08
8.0250000000e-01 1.1268551998e-08
8.0500000000e-01 8.3167024568e-09
8.0750000000e-01 6.1227775215e-09
8.1000000000e-01 4.4963494623e-09
8.1250000000e-01 3.2937141103e-09
8.1500000000e-01 2.4067224363e-09
8.1750000000e-01 1.7542051300e-09
8.2000000000e-01 1.2754076295e-09
8.2250000000e-01 9.2497907527e-10
8.2500000000e-01 6.6915860913e-10
8.2750000000e-01 4.8288141984e-10
8.3000000000e-01 3.4758912812e-10
8.3250000000e-01 2.4957790624e-10
8.3500000000e-01 1.7875588711e-10
8.3750000000e-01 1.2771115545e-10
8.4000000000e-01 9.1014707645e-11
8.4250000000e-01 6.4700641466e-11
8.4500000000e-01 4.5879624871e-11
8.4750000000e-01 3.2452293413e-11
8.5000000000e-01 2.2897348456e-11
8.5250000000e-01 1.6115331983e-11
8.5500000000e-01 1.1313776200e-11
8.5750000000e-01 7.9230094596e-12
8.6000000000e-01 5.5346100717e-12
8.6250000000e-01 3.8565427285e-12
8.6500000000e-01 2.6805476373e-12
8.6750000000e-01 1.8585026115e-12
8.7000000000e-01 1.2853372251e-12
8.7250000000e-01 8.8671745799e-13
8.7500000000e-01 6.1019366776e-13
8.7750000000e-01 4.1885566888e-13
8.8000000000e-01 2.8679750089e-13
8.8250000000e-01 1.9588473410e-13
8.8500000000e-01 1.3345660848e-13
8.8750000000e-01 9.0697191771e-14
8.9000000000e-01 6.1483964127e-14
8.9250000000e-01 4.1576137916e-14
8.9500000000e-01 2.8044047382e-14
8.9750000000e-01 1.8869113801e-14
9.0000000000e-01 1.2664165549e-14
9.0250000000e-01 8.4784393581e-15
9.0500000000e-01 5.6619955169e-15
9.0750000000e-01 3.7717021374e-15
9.1000000000e-01 2.5062218871e-15
9.1250000000e-01 1.6611770127e-15
9.1500000000e-01 1.0983141298e-15
9.1750000000e-01 7.2435505084e-16
9.2000000000e-01 4.7653047353e-16
9.2250000000e-01 3.1271169815e-16
9.2500000000e-01 2.0469717132e-16
9.2750000000e-01 1.3365764918e-16
9.3000000000e-01 8.7054266223e-17
9.3250000000e-01 5.6558849146e-17
9.3500000000e-01 3.6654333956e-17
9.3750000000e-01 2.3695417473e-17
9.4000000000e-01 1.5279799683e-17
9.4250000000e-01 9.8284542531e-18
9.4500000000e-01 6.3061898940e-18
9.4750000000e-01 4.0361112797e-18
9.5000000000e-01 2.5767571092e-18
9.5250000000e-01 1.6409603897e-18
9.5500000000e-01 1.0424061784e-18
9.5750000000e-01 6.6052630752e-19
9.6000000000e-01 4.1750100559e-19
9.6250000000e-01 2.6323231068e-19
9.6500000000e-01 1.6555226621e-19
9.6750000000e-01 1.0385928487e-19
9.7000000000e-01 6.4993479721e-20
9.7250000000e-01 4.0570327631e-20
9.7500000000e-01 2.5261637809e-20
9.7750000000e-01 1.5690210030e-20
9.8000000000e-01 9.7209850203e-21
9.8250000000e-01 6.0076697999e-21
9.8500000000e-01 3.7035319777e-21
9.8750000000e-01 2.2774057197e-21
9.9000000000e-01 1.3969439431e-21
9.9250000000e-01 8.5473564317e-22
9.9500000000e-01 5.2167366620e-22
9.9750000000e-01 3.1759984199e-22
1.0000000000e+00 1.9287498480e-22
